Latitude,Longitude,UTC,Parameter,AQI,Category
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T16:00,PM2.5,53,2
34.066429,-118.226755,2024-04-16T16:00,PM10,17,1
34.066429,-118.226755,2024-04-16T17:00,PM2.5,55,2
